instance,n,known_opt,n_ils,rep,final_feas,final_semi,gap_pct,t_best_feas,t_best_semi,wall_s
airland11,200,12462.18,2,1,12418.32,12418.32,-0.3519,253.1704,253.0351,300.1086
airland11,200,12462.18,2,2,12418.32,12418.32,-0.3519,281.5602,281.4348,300.2316
airland11,200,12462.18,2,3,12418.32,12418.32,-0.3519,250.3357,250.2003,300.2403
airland11,200,12462.18,4,1,12418.32,12418.32,-0.3519,254.7348,254.5991,300.2168
airland11,200,12462.18,4,2,12418.32,12418.32,-0.3519,281.0418,280.9147,300.1952
airland11,200,12462.18,4,3,12418.32,12418.32,-0.3519,255.7171,255.5821,300.3098
airland11,200,12462.18,6,1,12418.32,12418.32,-0.3519,264.5243,264.3912,300.1571
airland11,200,12462.18,6,2,12418.32,12418.32,-0.3519,281.3404,281.2149,300.3109
airland11,200,12462.18,6,3,12418.32,12418.32,-0.3519,252.4532,252.3186,300.2649
airland12,250,16629.1,0,1,16249.6,16249.6,-2.2821,233.1569,232.9071,300.3361
airland12,250,16629.1,0,2,16239.46,16239.46,-2.3431,288.0074,287.7675,300.3236
airland12,250,16629.1,0,3,16203.37,16203.37,-2.5602,254.2567,254.0072,300.2303
airland12,250,16629.1,2,1,16249.6,16249.6,-2.2821,228.0527,227.8295,300.3774
airland12,250,16629.1,2,2,16239.46,16239.46,-2.3431,288.9626,288.7187,300.3364
airland12,250,16629.1,2,3,16203.37,16203.37,-2.5602,249.1995,248.9776,300.3798
airland12,250,16629.1,4,1,16249.6,16249.6,-2.2821,233.291,233.0413,300.2878
airland12,250,16629.1,4,2,16239.46,16239.46,-2.3431,288.3314,288.0903,300.371
airland12,250,16629.1,4,3,16203.37,16203.37,-2.5602,254.5072,254.2561,300.2114
airland12,250,16629.1,6,1,16249.6,16249.6,-2.2821,233.3522,233.1071,300.2638
airland12,250,16629.1,6,2,16239.46,16239.46,-2.3431,287.8931,287.6413,300.3493
airland12,250,16629.1,6,3,16203.37,16203.37,-2.5602,254.2339,253.9861,300.283
airland13,500,39287.52,0,1,40388.51,40388.51,2.8024,299.03,297.7134,301.4631
airland13,500,39287.52,0,2,40113.55,40113.55,2.1025,295.7807,294.4477,300.4519
airland13,500,39287.52,0,3,41027.98,41027.98,4.4301,297.9562,296.6383,300.4033
airland13,500,39287.52,2,1,40388.51,40388.51,2.8024,298.8095,297.5088,301.1683
airland13,500,39287.52,2,2,40113.55,40113.55,2.1025,294.4668,293.164,300.5351
airland13,500,39287.52,2,3,40945.84,40945.84,4.221,299.4512,298.1447,302.0552
airland13,500,39287.52,4,1,40410.68,40410.68,2.8588,299.1063,297.7909,301.3698
airland13,500,39287.52,4,2,40113.55,40113.55,2.1025,294.6478,293.3406,300.6895
airland13,500,39287.52,4,3,41027.98,41027.98,4.4301,297.2826,295.969,300.5386
airland13,500,39287.52,6,1,40410.68,40410.68,2.8588,298.192,296.8898,300.5077
airland13,500,39287.52,6,2,40113.55,40113.55,2.1025,294.6672,293.3297,300.6957
airland13,500,39287.52,6,3,41027.98,41027.98,4.4301,297.1804,295.873,300.4161
