instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland3,20,820.0,ATC_k2,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1449,0
airland3,20,820.0,ATC_k2,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1376,0
airland3,20,820.0,ATC_k2,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1394,0
airland3,20,820.0,ATC_k2,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1091,0
airland3,20,820.0,ATC_k2,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1129,0
airland3,20,820.0,ATC_k4,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1127,0
airland3,20,820.0,ATC_k4,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1128,0
airland3,20,820.0,ATC_k4,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1108,0
airland3,20,820.0,ATC_k4,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1194,0
airland3,20,820.0,ATC_k4,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1369,0
airland4,20,2520.0,EDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3172,0
airland4,20,2520.0,EDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2994,0
airland4,20,2520.0,EDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2614,0
airland4,20,2520.0,EDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3092,0
airland4,20,2520.0,EDD,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3084,0
airland4,20,2520.0,ERD,1,42,4890.0,4890.0,2520.0,2520.0,0.0,2.5304,2.5296,11.8197,48
airland4,20,2520.0,ERD,2,59,4890.0,4890.0,2520.0,2520.0,0.0,2.4511,2.4504,11.7662,47
airland4,20,2520.0,ERD,3,76,4890.0,4890.0,2520.0,2520.0,0.0,2.4727,2.4719,11.733,47
airland4,20,2520.0,ERD,4,93,4890.0,4890.0,2520.0,2520.0,0.0,2.5823,2.5815,11.8784,49
airland4,20,2520.0,ERD,5,110,4890.0,4890.0,2520.0,2520.0,0.0,2.4614,2.4607,11.7568,47
airland4,20,2520.0,MDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2824,0
airland4,20,2520.0,MDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2844,0
airland4,20,2520.0,MDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3138,0
airland4,20,2520.0,MDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3023,0
airland4,20,2520.0,MDD,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2946,0
airland4,20,2520.0,MPDS,1,42,8560.0,8560.0,2520.0,2520.0,0.0,2.3779,2.3771,11.6605,45
airland4,20,2520.0,MPDS,2,59,8560.0,8560.0,2520.0,2520.0,0.0,3.1524,3.1516,12.5215,60
airland4,20,2520.0,MPDS,3,76,8560.0,8560.0,2520.0,2520.0,0.0,2.5225,2.5217,11.899,48
airland4,20,2520.0,MPDS,4,93,8560.0,8560.0,2520.0,2520.0,0.0,2.6016,2.6009,11.8923,49
airland4,20,2520.0,MPDS,5,110,8560.0,8560.0,2520.0,2520.0,0.0,2.5534,2.5527,11.8705,49
airland4,20,2520.0,ATC_k2,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2978,0
airland4,20,2520.0,ATC_k2,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2867,0
airland4,20,2520.0,ATC_k2,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2854,0
airland4,20,2520.0,ATC_k2,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2794,0
airland4,20,2520.0,ATC_k2,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2748,0
airland4,20,2520.0,ATC_k4,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.307,0
airland4,20,2520.0,ATC_k4,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3119,0
airland4,20,2520.0,ATC_k4,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3232,0
airland4,20,2520.0,ATC_k4,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2828,0
airland4,20,2520.0,ATC_k4,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3041,0
airland5,20,3100.0,EDD,1,42,5420.0,5420.0,3100.0,3100.0,0.0,2.4284,2.4276,11.8931,46
airland5,20,3100.0,EDD,2,59,5420.0,5420.0,3100.0,3100.0,0.0,2.4214,2.4206,11.9305,46
airland5,20,3100.0,EDD,3,76,5420.0,5420.0,3100.0,3100.0,0.0,2.7155,2.7146,12.2141,52
airland5,20,3100.0,EDD,4,93,5420.0,5420.0,3100.0,3100.0,0.0,2.3923,2.3915,11.8439,45
airland5,20,3100.0,EDD,5,110,5420.0,5420.0,3100.0,3100.0,0.0,2.4608,2.4599,11.959,47
airland5,20,3100.0,ERD,1,42,6470.0,6470.0,3100.0,3100.0,0.0,2.411,2.4101,11.882,46
airland5,20,3100.0,ERD,2,59,6470.0,6470.0,3100.0,3100.0,0.0,2.4191,2.4183,11.8907,46
airland5,20,3100.0,ERD,3,76,6470.0,6470.0,3100.0,3100.0,0.0,2.3865,2.3856,11.8344,45
airland5,20,3100.0,ERD,4,93,6470.0,6470.0,3100.0,3100.0,0.0,2.7486,2.7477,12.2198,52
