instance,n,known_opt,combo_id,combo_label,coded_alpha,coded_Ni,coded_Imax,coded_Mstag,alpha,N_iter,I_max,M_stag,rep,seed,final_semi,final_feas,gap_pct,t_best_feas,wall_s
airland2,15,1480.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,1480.0,1480.0,0.0,11.0277,60.05
airland2,15,1480.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,1480.0,1480.0,0.0,2.4748,6.2935
airland2,15,1480.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,1480.0,1480.0,0.0,3.4889,7.3293
airland2,15,1480.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,1480.0,1480.0,0.0,3.1596,13.1072
airland2,15,1480.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,1480.0,1480.0,0.0,2.659,10.7034
airland2,15,1480.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,1480.0,1480.0,0.0,2.9273,6.7816
airland2,15,1480.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,1480.0,1480.0,0.0,3.4728,7.2953
airland2,15,1480.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,1480.0,1480.0,0.0,3.1587,36.5438
airland2,15,1480.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,1480.0,1480.0,0.0,2.6411,26.4077
airland2,15,1480.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,1480.0,1480.0,0.0,11.9122,30.3667
airland2,15,1480.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,1480.0,1480.0,0.0,8.3497,20.2134
airland2,15,1480.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,1480.0,1480.0,0.0,10.9366,41.37
airland2,15,1480.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,1480.0,1480.0,0.0,7.8253,47.5419
airland2,15,1480.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,1480.0,1480.0,0.0,12.0008,25.534
airland2,15,1480.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,1480.0,1480.0,0.0,13.4034,28.9387
airland2,15,1480.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,1480.0,1480.0,0.0,10.4976,59.9147
airland2,15,1480.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,1480.0,1480.0,0.0,12.4323,59.8968
airland2,15,1480.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,1480.0,1480.0,0.0,8.2122,40.2299
airland2,15,1480.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,1480.0,1480.0,0.0,6.1987,37.8173
airland3,20,820.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,820.0,820.0,0.0,3.6542,8.0009
airland3,20,820.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,820.0,820.0,0.0,2.9946,7.4687
airland3,20,820.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,820.0,820.0,0.0,3.6272,14.4405
airland3,20,820.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,820.0,820.0,0.0,2.9398,14.3527
airland3,20,820.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,820.0,820.0,0.0,3.4157,7.3831
airland3,20,820.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,820.0,820.0,0.0,2.9824,7.4517
airland3,20,820.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,820.0,820.0,0.0,3.6154,39.5589
airland3,20,820.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,820.0,820.0,0.0,2.929,40.0311
airland3,20,820.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,820.0,820.0,0.0,14.8755,32.6006
airland3,20,820.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,820.0,820.0,0.0,14.3214,34.9188
airland3,20,820.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,820.0,820.0,0.0,14.1321,58.5474
airland3,20,820.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,820.0,820.0,0.0,12.6634,51.2165
airland3,20,820.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,820.0,820.0,0.0,9.2103,22.0304
airland3,20,820.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,820.0,820.0,0.0,13.3609,33.7544
airland3,20,820.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,1,42,820.0,820.0,0.0,8.7325,59.9872
airland3,20,820.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,820.0,820.0,0.0,10.8206,59.9784
airland3,20,820.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,820.0,820.0,0.0,3.8066,8.0998
airland3,20,820.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,820.0,820.0,0.0,3.5942,7.5561
airland3,20,820.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,820.0,820.0,0.0,3.1391,11.9471
airland3,20,820.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,820.0,820.0,0.0,2.0664,9.0247
airland3,20,820.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,820.0,820.0,0.0,3.5478,7.5092
airland3,20,820.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,820.0,820.0,0.0,3.8676,8.2109
airland3,20,820.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,820.0,820.0,0.0,3.5133,40.5023
airland3,20,820.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,820.0,820.0,0.0,3.4313,29.5356
airland3,20,820.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,820.0,820.0,0.0,10.2185,23.2386
airland3,20,820.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,820.0,820.0,0.0,14.8617,27.687
airland3,20,820.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,820.0,820.0,0.0,15.1305,50.69
airland3,20,820.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,820.0,820.0,0.0,16.9042,58.9261
airland3,20,820.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,820.0,820.0,0.0,15.6774,35.6661
airland3,20,820.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,820.0,820.0,0.0,16.565,29.3102
airland3,20,820.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,820.0,820.0,0.0,14.8324,59.9914
airland3,20,820.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,820.0,820.0,0.0,10.3709,60.0097
airland3,20,820.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,820.0,820.0,0.0,4.9118,45.3052
airland3,20,820.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,820.0,820.0,0.0,7.9005,46.853
airland4,20,2520.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,2520.0,2520.0,0.0,0.0,6.8045
airland4,20,2520.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,2520.0,2520.0,0.0,0.0,6.8153
airland4,20,2520.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,2520.0,2520.0,0.0,0.0,14.6337
