instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland7,44,1550.0,ATC_k4,1,42,inf,,inf,,,0.0,0.0,0.2914,240
airland7,44,1550.0,ATC_k4,2,59,inf,,inf,,,0.0,0.0,0.2272,240
airland7,44,1550.0,ATC_k4,3,76,inf,,inf,,,0.0,0.0,0.278,240
airland7,44,1550.0,ATC_k4,4,93,inf,,inf,,,0.0,0.0,0.1361,240
airland7,44,1550.0,ATC_k4,5,110,inf,,inf,,,0.0,0.0,0.1919,240
airland7,44,1550.0,EDD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5682,0
airland7,44,1550.0,EDD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.6331,0
airland7,44,1550.0,EDD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.4001,0
airland7,44,1550.0,EDD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.7688,0
airland7,44,1550.0,EDD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.629,0
airland7,44,1550.0,ERD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.494,0
airland7,44,1550.0,ERD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.8195,0
airland7,44,1550.0,ERD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.4901,0
airland7,44,1550.0,ERD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5309,0
airland7,44,1550.0,ERD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5738,0
airland7,44,1550.0,MDD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.6419,0
airland7,44,1550.0,MDD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.7839,0
airland7,44,1550.0,MDD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.6292,0
airland7,44,1550.0,MDD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.6954,0
airland7,44,1550.0,MDD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.7749,0
airland7,44,1550.0,MPDS,1,42,inf,,inf,,,0.0,0.0,0.1663,240
airland7,44,1550.0,MPDS,2,59,inf,,inf,,,0.0,0.0,0.1677,240
airland7,44,1550.0,MPDS,3,76,inf,,inf,,,0.0,0.0,0.1684,240
airland7,44,1550.0,MPDS,4,93,inf,,inf,,,0.0,0.0,0.1662,240
airland7,44,1550.0,MPDS,5,110,inf,,inf,,,0.0,0.0,0.1625,240
airland8,50,1950.0,ATC_k2,1,42,4050.0,4070.0,1870.0,2020.0,3.5897,13.7168,14.6042,66.2474,73
airland8,50,1950.0,ATC_k2,2,59,4050.0,4070.0,1860.0,1950.0,0.0,25.0165,27.0706,76.5422,132
airland8,50,1950.0,ATC_k2,3,76,4050.0,4070.0,1860.0,1950.0,0.0,11.6538,11.649,42.1785,98
airland8,50,1950.0,ATC_k2,4,93,4050.0,4070.0,1860.0,1950.0,0.0,18.994,34.8693,73.1506,179
airland8,50,1950.0,ATC_k2,5,110,4050.0,4070.0,1860.0,1950.0,0.0,16.3785,21.8636,65.5962,117
airland8,50,1950.0,ATC_k4,1,42,6495.0,6525.0,1860.0,1950.0,0.0,21.4159,56.1636,78.78,263
airland8,50,1950.0,ATC_k4,2,59,6495.0,6525.0,1870.0,1950.0,0.0,28.9088,31.6804,77.8576,148
airland8,50,1950.0,ATC_k4,3,76,6495.0,6525.0,1860.0,1950.0,0.0,20.6639,21.8634,54.3233,117
airland8,50,1950.0,ATC_k4,4,93,6495.0,6525.0,1860.0,1950.0,0.0,12.1848,21.5346,51.4599,179
airland8,50,1950.0,ATC_k4,5,110,6495.0,6525.0,1860.0,1950.0,0.0,14.1073,14.1029,41.313,123
airland8,50,1950.0,EDD,1,42,2450.0,2480.0,1870.0,2020.0,3.5897,13.5307,14.402,65.926,73
airland8,50,1950.0,EDD,2,59,2450.0,2480.0,1860.0,1950.0,0.0,17.2656,28.5728,76.1783,137
airland8,50,1950.0,EDD,3,76,2450.0,2480.0,1860.0,1950.0,0.0,29.074,29.069,59.6092,177
airland8,50,1950.0,EDD,4,93,2450.0,2480.0,1860.0,1950.0,0.0,18.8047,34.6739,73.1556,179
airland8,50,1950.0,EDD,5,110,2450.0,2480.0,1860.0,1950.0,0.0,56.5945,56.5859,69.8986,321
airland8,50,1950.0,ERD,1,42,18790.0,18915.0,1860.0,1950.0,0.0,27.1784,47.1264,75.9083,220
airland8,50,1950.0,ERD,2,59,18790.0,18915.0,1875.0,1950.0,0.0,16.6369,16.6283,68.1159,82
airland8,50,1950.0,ERD,3,76,18790.0,18915.0,1860.0,1950.0,0.0,40.1282,40.119,82.3727,188
airland8,50,1950.0,ERD,4,93,18790.0,18915.0,1860.0,1950.0,0.0,16.3362,16.3286,60.2848,88
airland8,50,1950.0,ERD,5,110,18790.0,18915.0,1860.0,1950.0,0.0,15.9025,15.8949,61.912,85
airland8,50,1950.0,MDD,1,42,2450.0,2480.0,1870.0,2020.0,3.5897,13.5339,14.4034,65.588,73
airland8,50,1950.0,MDD,2,59,2450.0,2480.0,1860.0,1950.0,0.0,15.8838,26.0682,65.8984,137
airland8,50,1950.0,MDD,3,76,2450.0,2480.0,1860.0,1950.0,0.0,34.0979,34.0918,73.3576,177
airland8,50,1950.0,MDD,4,93,2450.0,2480.0,1860.0,1950.0,0.0,20.2959,37.5858,78.1187,179
